,conversation_id,created_at,date,hashtags,id,likes_count,name,replies_count,retweets_count,time,timezone,tweet,user_id,username,compound
15,1120628617346789376,2019-04-23 10:00:57,2019-04-23 00:00:00,"['#lonely', '#veterans']",1120628617346789379,0,JCP in Swindon,0,0,06:00:57,EDT,Do you sometimes feel #lonely or isolated but are too proud to ask for help? The @VeteransGateway can put you in touch with organisations who can support you. Contact the Veterans’ Gateway today  http://ow.ly/7t6I30mpxJq  #veterans pic.twitter.com/2Q3ereQeuB,835067574480224257,jcpinswindon,0.891
16,1120357858359463936,2019-04-22 16:05:03,2019-04-22 00:00:00,"['#exwife', '#holidays', '#single', '#lonely', '#exhusband', '#happyeaster', '#kassidy']",1120357858359463936,145,CANDY KEN,1,17,12:05:03,EDT,It’s kinda weird 2 see my #exwife @JillKassidyy only on #holidays but since she’s #single and #lonely I brought her a @hankeystoys to play with since I’m gone 🦑🦑🦑 aka best #exhusband ever 😇😅😂 aka #happyeaster from the #Kassidy Family 🥕🐇💋 pic.twitter.com/BHb8Uz2YWY,309114366,candyken69,0.8656
17,1117744671021727744,2019-04-15 11:01:10,2019-04-15 00:00:00,"['#lonely', '#veterans']",1117744671021727746,0,JCP in Dorset,0,0,07:01:10,EDT,Do you sometimes feel #lonely or isolated but are too proud to ask for help? The @VeteransGateway can put you in touch with organisations who can support you. Contact the Veterans’ Gateway today  http://ow.ly/5mXt50pZkNk  #veterans pic.twitter.com/e4smxxcrJf,835056307153551360,jcpindorset,0.891
18,1117004659535896576,2019-04-13 10:00:38,2019-04-13 00:00:00,"['#lonely', '#veterans']",1117004659535896576,0,JCP Jobs Plus More,0,0,06:00:38,EDT,Do you sometimes feel #lonely or isolated but are too proud to ask for help? The @VeteransGateway can put you in touch with organisations who can support you. Contact the Veterans’ Gateway today  http://ow.ly/7t6I30mpxJq  #veterans pic.twitter.com/L3P2KgEqE6,564538442,jcpjobsplusmore,0.891
19,1115661126833004544,2019-04-09 17:01:55,2019-04-09 00:00:00,"['#lonely', '#woman', '#transform', '#dress', '#malevolentcurse', '#atlff', '#marquee', '#infabric']",1115661126833004546,1,Atlanta Film Festival,0,0,13:01:55,EDT,"See In Fabric April 11th at 9:30PM! A #lonely #woman (Marianne Jean-Baptiste), is in search of a dress that will #transform her life. In time, the #dress will come to unleash a #malevolentcurse.  http://ow.ly/wTR250oU15o  #atlff #marquee #infabric pic.twitter.com/vO4IQlyjKH",16419462,atlantafilmfest,0.0
20,1114723418488729600,2019-04-07 02:55:48,2019-04-06 00:00:00,"['#lonely', '#cafe', '#greatidea']",1114723418488729600,7,KUTV 2News,0,2,22:55:48,EDT,This cafe is helping lonely people connect with others. #Lonely #Cafe #GreatIdea (Video: CBS Newspath) pic.twitter.com/HL3Ll3jin9,21901715,kutv2news,-0.0772
21,1110692941494996992,2019-03-27 00:00:07,2019-03-26 00:00:00,"['#mentalillness', '#lonely']",1110692941494996993,2,Dr. Ali Khan,0,0,20:00:07,EDT,"Subtle buttons of meds to say you are willing to talk about your #mentalillness to a stranger. Great idea if people are respectful. Maybe in today's #lonely society extend to a button that says you are willing talk, period.  https://www.fastcompany.com/90324104/these-wear-your-meds-buttons-tackle-the-stigma-of-taking-mental-illness-drugs …",378778417,unmc_drkhan,0.8316
22,1109955891078418432,2019-03-24 23:11:21,2019-03-24 00:00:00,['#lonely'],1109955891078418433,12,Queensland Health,1,8,19:11:21,EDT,"Around 1 in 4 Australians experience feelings of loneliness. Although it's normal to feel #Lonely from time to time, extended periods of isolation and loneliness can have impacts on mental and physical health and wellbeing. Check in with a family member or friend this week.  pic.twitter.com/v6eVt2SwHZ",35997368,qldhealthnews,-0.6249
23,1108828050161049600,2019-03-21 20:29:42,2019-03-21 00:00:00,"['#whoshere', '#bored', '#lonely', '#chat', '#whoshere', '#findfriends']",1108828050161049601,1,WhosHere,0,2,16:29:42,EDT,Feeling the chill? Let's turn on the heat of love! Get on #WhosHere and find the warmth! #Bored #Lonely #Chat #WhosHere FriendsNearYou #FindFriends  http://bit.ly/2kEvg5Y  pic.twitter.com/SjwdffQA5Z,18242354,whoshere,0.8513
24,1108190221013643264,2019-03-20 02:15:12,2019-03-19 00:00:00,['#lonely'],1108190221013643264,45,Casey Donovan,8,3,22:15:12,EDT,"Last night on insightsbs I chatted about ""Overcoming Loneliness"" It was raw, honest and from the heart...I also had the absolute pleasure of singing my very own song #Lonely   Catch up…  https://www.instagram.com/p/BvNobYAnf4-/?utm_source=ig_twitter_share&igshid=1xz8fs7cqx343 …",31321151,caseydonovan,0.6369
25,1108173910573375488,2019-03-20 01:10:23,2019-03-19 00:00:00,['#lonely'],1108173910573375488,20,Jessika Van,2,1,21:10:23,EDT,#lonely bird 🐦  pic.twitter.com/PymepD5DFu,74693487,jessikavan,0.0
26,1107951387130761216,2019-03-19 10:26:10,2019-03-19 00:00:00,"['#volunteer', '#volunteering', '#lonely', '#loneliness', '#insightsbs']",1107951389664174080,4,Australian Red Cross,1,2,06:26:10,EDT,"Henry Milner is a remarkable #Volunteer who has been #Volunteering for @redcrossau for 10yrs incl in bushfire response like the Yarloop fires, WA & he also helps by making hundreds of phone calls to #lonely people aged 30 to 99 to make sure they are ok #loneliness #insightSBS 2/4",138418895,redcrossau,0.9042
27,1107940982337634304,2019-03-19 09:44:49,2019-03-19 00:00:00,"['#lonely', '#loneliness', '#insightsbs']",1107940982337634304,7,Australian Red Cross,0,2,05:44:49,EDT,More than one in four of all Australians report feeling #lonely most or all of the time & nearly all of us suffer from #loneliness at various points in our lives.  Loneliness isn’t just an upsetting or annoying feeling it’s genuinely bad for your health #insightSBS,138418895,redcrossau,-0.9274
28,1107600942419996672,2019-03-18 11:13:37,2019-03-18 00:00:00,"['#samaritans', '#lonely', '#suicideprevention']",1107600942419996672,6,UK in Thailand 🇬🇧,0,2,07:13:37,EDT,"Consular Section is working with the #Samaritans of 🇹🇭 to raise awareness of the 🇬🇧 Speaking hotline for anyone that feels depressed, #lonely or suicidal. On 9th Mar 2019, the Samaritans of 🇹🇭celebrated their 40th anniversary with an International Conference on #SuicidePrevention pic.twitter.com/v2FBMMPjYY",253917357,ukinthailand,-0.8316
29,1107022504009351168,2019-03-16 20:55:07,2019-03-16 00:00:00,"['#lonely', '#gin', '#sad']",1107022504009351168,9,Darren Altman,1,0,16:55:07,EDT,"Don’t you just hate it when people post pictures of what they’re drinking as if to say “hey, look at me. I’m having such a great time?! “Just a bunch of narcissistic arseholes. #lonely #gin #sad 🤪 pic.twitter.com/NUBREqudmE",126509901,darrenaltman,0.1759
30,1106932890166800384,2019-03-16 14:59:01,2019-03-16 00:00:00,"['#prisoner', '#thixo', '#ngiyazfela', '#sanctuarylove', '#lonely', '#uthando', '#pleasure', '#ngiyazi', '#letsmakeababy', '#yebosthandwasam', '#nalediyamafifi', '#makeyoufeelloved', '#dejavu']",1106932890166800384,37,#Ngiyazfela,0,9,10:59:01,EDT,AS IT STANDS...   #Prisoner #Thixo #Ngiyazfela #SanctuaryLove #Lonely #Uthando #Pleasure #Ngiyazi #LetsMakeABaby #YeboSthandwaSam #NalediYaMafifi #MakeYouFeelLoved #Dejavu 👀,51185181,donaldindenial,0.0
31,1106609985889492992,2019-03-15 17:35:55,2019-03-15 00:00:00,"['#american', '#lonely', '#survey', '#loneliness']",1106609985889492993,7,AARP Research,0,5,13:35:55,EDT,"About 1/3 of #American adults age 45+ report feeling #lonely — and, due to an increased number of aging adults, the number is growing. Explore our national #survey on #loneliness and social connections:  http://spr.ly/6011EXOa5  pic.twitter.com/jgeTIiYmXY",322801239,aarpresearch,0.5994
32,1105194211446538240,2019-03-11 19:50:08,2019-03-11 00:00:00,"['#millennials', '#lonely']",1105194211446538240,3,Ashley M. Williams,1,3,15:50:08,EDT,"Social media doesn't stop Generation Z, #Millennials from feeling #lonely, survey finds  https://www.nbcnews.com/health/health-news/despite-social-media-generation-z-millennials-report-feeling-lonely-n980926 … via @nbcnews",239754469,ashmwill,0.3374
